李茂换太子/Another Me,李茂扮太子,2022,中国大陆,喜剧/古装,汉语普通话,中文字幕,2022-01-01(中国大陆),4.5/10,54884,6.5/10,15
冰雪长津湖/抗美援朝/长津湖之战/The Battle at Lake Changjin/Battle of Chosin Reservior,长津湖,2021,中国大陆/中国香港,战争/历史/剧情,汉语普通话/英语,中英双字幕,2021-09-30(中国大陆),7.4/10,509442,5.0/10,1400
一部电影的诞生/Be Somebody,扬名立万,2021,中国大陆&nbsp;,喜剧/悬疑/剧情,汉语普通话,中文字幕,2021-11-11(中国大陆),7.5/10,398640,7.1/10,231
永恒神族/The Eternals,Eternals,2021,美国/英国,动作/科幻/冒险,英语,中英双字幕,2021(中国大陆)/2021-11-05(美国),6.7/10,10274,6.8/10,131000
血卫(台),Bloodshot,2020,美国/中国大陆,动作/科幻,英语,中英双字幕,2020(中国大陆)/2020-03-13(美国),5.5/10,26304,5.7/10,12026
F9狂野时速(港)/玩命关头9(台)/狂野时速9/速激9/FF9/Fast &amp; Furious 9,F9: The Fast Saga,2021,美国,动作/犯罪,英语,中英双字幕,2021-05-21(中国大陆)/2021-05-19(韩国)/2021-06-25(美国),5.5/10,129447,5.5/10,41000
B for Busy/Myth of Love,爱情神话,2021,中国大陆,喜剧/爱情/剧情,汉语普通话,中文字幕,2021-12-24(中国大陆),8.3/10,280773,7.8/10,202
"My Country, My Parents",我和我的父辈,2021,中国大陆,剧情,汉语普通话,中文字幕,2021-09-30(中国大陆),6.7/10,177768,5.8/10,158
TENET天能(港/台)/时空追捕/ TEN&#398;&perp;/Tempus/天呐天(豆友译名),Tenet,2020,美国/英国,剧情/动作/科幻,英语,中文字幕,2020-09-04(中国大陆)/2020-08-26(英国)/2020-09-03(美国),7.8/10,399866,7.8/10,147932
007：生死有时(港)/007：生死交战(台)/007：间不容死/邦德25/007：没空去死(豆友译名)/James Bond 25/Never Dream of Dying/Shatterhand,No Time to Die,2021,英国/美国,动作/惊悚/冒险,英语,中英双字幕,2021-10-29(中国大陆)/2021-09-30(英国)/2021-10-08(美国),6.9/10,117020,7.5/10,152000
古董局中局电影版/Schemes In Antiques,古董局中局,2021,中国大陆,悬疑/冒险/剧情,汉语普通话,中文字幕,2021-12-03(中国大陆),6.3/10,106319,6.1/10,99
The Rescue,紧急救援,2020,中国大陆/中国香港,动作/灾难,汉语普通话,中英双字幕,2020-12-18(中国大陆),6.3/10,66587,6.2/10,180
铁道游击队1939/铁道队/Railway Heroes,铁道英雄,2021,中国大陆,战争/历史/剧情/动作,汉语普通话,中文字幕,2021-11-19(中国大陆),6.2/10,24514,6.5/10,56
限期破案/Caught in Time/Caught on Time/A penny,除暴,2020,中国香港/中国大陆,剧情/动作/犯罪,粤语/汉语普通话,中文字幕,2020-11-20(中国大陆),6.5/10,101174,6.3/10,100
The Door Lock,门锁,2021,中国大陆,惊悚/犯罪/剧情,汉语普通话,中文字幕,2021-11-19(中国大陆),4.6/10,77024,4.8/10,30
李茂换太子/Another Me,李茂扮太子,2022,中国大陆,喜剧/古装,汉语普通话,中文字幕,2022-01-01(中国大陆),4.5/10,54884,6.5/10,15
冰雪长津湖/抗美援朝/长津湖之战/The Battle at Lake Changjin/Battle of Chosin Reservior,长津湖,2021,中国大陆/中国香港,战争/历史/剧情,汉语普通话/英语,中英双字幕,2021-09-30(中国大陆),7.4/10,509442,5.0/10,1400
一部电影的诞生/Be Somebody,扬名立万,2021,中国大陆&nbsp;,喜剧/悬疑/剧情,汉语普通话,中文字幕,2021-11-11(中国大陆),7.5/10,398640,7.1/10,231
永恒神族/The Eternals,Eternals,2021,美国/英国,动作/科幻/冒险,英语,中英双字幕,2021(中国大陆)/2021-11-05(美国),6.7/10,10274,6.8/10,131000
血卫(台),Bloodshot,2020,美国/中国大陆,动作/科幻,英语,中英双字幕,2020(中国大陆)/2020-03-13(美国),5.5/10,26304,5.7/10,12026
F9狂野时速(港)/玩命关头9(台)/狂野时速9/速激9/FF9/Fast &amp; Furious 9,F9: The Fast Saga,2021,美国,动作/犯罪,英语,中英双字幕,2021-05-21(中国大陆)/2021-05-19(韩国)/2021-06-25(美国),5.5/10,129447,5.5/10,41000
B for Busy/Myth of Love,爱情神话,2021,中国大陆,喜剧/爱情/剧情,汉语普通话,中文字幕,2021-12-24(中国大陆),8.3/10,280773,7.8/10,202
"My Country, My Parents",我和我的父辈,2021,中国大陆,剧情,汉语普通话,中文字幕,2021-09-30(中国大陆),6.7/10,177768,5.8/10,158
TENET天能(港/台)/时空追捕/ TEN&#398;&perp;/Tempus/天呐天(豆友译名),Tenet,2020,美国/英国,剧情/动作/科幻,英语,中文字幕,2020-09-04(中国大陆)/2020-08-26(英国)/2020-09-03(美国),7.8/10,399866,7.8/10,147932
007：生死有时(港)/007：生死交战(台)/007：间不容死/邦德25/007：没空去死(豆友译名)/James Bond 25/Never Dream of Dying/Shatterhand,No Time to Die,2021,英国/美国,动作/惊悚/冒险,英语,中英双字幕,2021-10-29(中国大陆)/2021-09-30(英国)/2021-10-08(美国),6.9/10,117020,7.5/10,152000
古董局中局电影版/Schemes In Antiques,古董局中局,2021,中国大陆,悬疑/冒险/剧情,汉语普通话,中文字幕,2021-12-03(中国大陆),6.3/10,106319,6.1/10,99
The Rescue,紧急救援,2020,中国大陆/中国香港,动作/灾难,汉语普通话,中英双字幕,2020-12-18(中国大陆),6.3/10,66587,6.2/10,180
铁道游击队1939/铁道队/Railway Heroes,铁道英雄,2021,中国大陆,战争/历史/剧情/动作,汉语普通话,中文字幕,2021-11-19(中国大陆),6.2/10,24514,6.5/10,56
